日付,商品A,商品B,商品C
20240401,343,1285,66
20240402,936,1831,74
20240403,928,621,90
20240404,356,1532,54
20240405,910,1325,100
20240406,377,1161,60
20240407,188,1235,62
20240408,793,783,54
20240409,491,846,90
20240410,722,932,50
20240411,338,1134,75
20240412,205,847,96
20240413,149,851,60
20240414,155,1760,79
20240415,349,672,74
20240416,486,1117,98
20240417,382,1244,84
20240418,368,941,72
20240419,900,1881,75
20240420,657,816,66
20240421,489,782,75
20240422,147,701,92
20240423,247,1018,59
20240424,565,534,84
20240425,413,1531,72
20240426,587,828,60
20240427,503,1021,78
20240428,275,1891,57
20240429,467,1089,92
20240430,670,1056,86
