日付,商品A,商品B,商品C
20240501,677,1991,69
20240502,529,1686,65
20240503,549,623,57
20240504,903,1616,50
20240505,428,1362,76
20240506,578,760,73
20240507,972,1365,74
20240508,271,1173,84
20240509,727,954,57
20240510,889,1132,97
20240511,710,794,51
20240512,953,1477,78
20240513,785,1281,92
20240514,189,1405,100
20240515,297,1517,67
20240516,235,578,76
20240517,442,846,95
20240518,948,596,73
20240519,378,962,87
20240520,147,1396,55
20240521,969,796,75
20240522,513,1359,63
20240523,926,1604,70
20240524,836,777,70
20240525,597,1911,74
20240526,110,1006,89
20240527,211,1685,84
20240528,404,806,85
20240529,973,642,55
20240530,714,1833,52
20240531,285,706,98
