日付,商品A,商品B,商品C
20240601,425,1158,55
20240602,208,642,61
20240603,239,1077,95
20240604,980,616,81
20240605,236,1243,84
20240606,199,1769,100
20240607,700,1700,63
20240608,868,1342,82
20240609,262,1923,75
20240610,227,1869,78
20240611,462,1653,58
20240612,142,1243,52
20240613,579,1279,56
20240614,161,868,99
20240615,699,1664,69
20240616,318,1220,51
20240617,242,1037,55
20240618,777,1012,100
20240619,642,1324,84
20240620,621,1702,78
20240621,787,1067,61
20240622,518,796,65
20240623,741,741,97
20240624,640,697,50
20240625,817,1632,93
20240626,901,1693,52
20240627,652,1591,55
20240628,150,1001,76
20240629,504,1815,61
20240630,341,1970,52
