日付,商品A,商品B,商品C
20240701,634,1269,93
20240702,658,1406,54
20240703,662,850,55
20240704,939,1883,97
20240705,738,1030,79
20240706,918,752,71
20240707,911,606,76
20240708,189,518,75
20240709,853,1431,68
20240710,533,700,85
20240711,773,1782,81
20240712,653,883,56
20240713,851,948,60
20240714,506,1613,100
20240715,781,1124,89
20240716,282,1505,65
20240717,264,557,70
20240718,313,1944,99
20240719,915,791,63
20240720,450,1381,92
20240721,818,1404,85
20240722,140,1038,66
20240723,728,1025,67
20240724,285,1910,56
20240725,662,1695,61
20240726,558,1597,69
20240727,521,784,80
20240728,999,1278,69
20240729,842,707,78
20240730,752,814,79
20240731,444,1473,65
