日付,商品A,商品B,商品C
20240801,341,1072,53
20240802,376,662,70
20240803,933,676,63
20240804,235,1641,59
20240805,695,1276,68
20240806,534,1188,89
20240807,246,1189,53
20240808,272,1843,58
20240809,560,1232,93
20240810,214,1343,55
20240811,228,788,99
20240812,543,1718,53
20240813,866,1110,88
20240814,816,1408,72
20240815,263,578,92
20240816,430,1414,98
20240817,584,555,95
20240818,903,710,54
20240819,548,1843,87
20240820,840,873,54
20240821,634,791,73
20240822,467,1295,98
20240823,854,658,69
20240824,734,1055,70
20240825,824,1670,72
20240826,194,1281,74
20240827,349,1124,86
20240828,381,883,65
20240829,482,1504,78
20240830,112,1639,59
20240831,350,736,95
